name,grade,province,source
王屋山景区,国家级,河南省,baidu_geo
神农山风景区,国家级,河南省,baidu_geo
郑州黄河文化公园,国家级,河南省,baidu_geo
青天河风景区,国家级,河南省,baidu_geo
鸡公山风景区,国家级,河南省,baidu_geo
仙华山风景名胜区-仙华胜境,国家级,浙江省,osm
神仙居景区,国家级,浙江省,baidu_geo
缙云仙都景区,国家级,浙江省,baidu_geo
金华双龙风景旅游区,国家级,浙江省,baidu_geo
昭明院风景区,国家级,浙江省,convex_hull
大红岩景区,国家级,浙江省,baidu_geo
天姥山国家级风景名胜区,国家级,浙江省,baidu_geo
富春江-新安江风景名胜区管委会办公室,国家级,浙江省,convex_hull
嵊泗列岛风景名胜区,国家级,浙江省,baidu_geo
方山国家重点风景名胜区南嵩岩,国家级,浙江省,baidu_geo
方岩风景名胜区,国家级,浙江省,baidu_geo
舟山市普陀山风景区,国家级,浙江省,baidu_geo
楼外楼(西湖景区孤山路店),国家级,浙江省,osm
桃渚风景区,国家级,浙江省,baidu_geo
楠溪江风景旅游区,国家级,浙江省,baidu_geo
江郎山风景区,国家级,浙江省,baidu_geo
五泄风景区,国家级,浙江省,baidu_geo
百丈漈风景区,国家级,浙江省,baidu_geo
莫干山风景区,国家级,浙江省,baidu_geo
雁荡山风景名胜区,国家级,浙江省,baidu_geo
溪口雪窦山风景名胜区,国家级,浙江省,baidu_geo
三亚热带海滨国家级风景名胜区管理局,国家级,海南省,convex_hull
丹江口水库风景名胜区,国家级,湖北省,baidu_geo
九宫山风景名胜区,国家级,湖北省,baidu_geo
大洪山风景名胜区,国家级,湖北省,baidu_geo
武当山风景区,国家级,湖北省,baidu_geo
东湖生态旅游风景区,国家级,湖北省,baidu_geo
大洪山风景名胜区,国家级,湖北省,convex_hull
古隆中,国家级,湖北省,baidu_geo
万佛山侗寨风景名胜区管理处,国家级,湖南省,osm
东江湖旅游区,国家级,湖南省,baidu_geo
舜帝陵景区,国家级,湖南省,convex_hull
凤凰古城,国家级,湖南省,baidu_geo
南山风景名胜区,国家级,湖南省,baidu_geo
湖南东洞庭湖国家级自然保护区,国家级,湖南省,baidu_geo
岳麓山国家重点风景名胜区,国家级,湖南省,baidu_geo
崀山风景名胜区,国家级,湖南省,baidu_geo
德夯峡谷景区,国家级,湖南省,baidu_geo
桃花源风景区,国家级,湖南省,baidu_geo
张家界武陵源风景名胜区,国家级,湖南省,baidu_geo
沩山风景名胜区,国家级,湖南省,convex_hull
炎帝陵,国家级,湖南省,baidu_geo
湘西猛洞河风景区,国家级,湖南省,baidu_geo
白水洞国家级风景名胜区,国家级,湖南省,baidu_geo
紫鹊界梯田景区,国家级,湖南省,baidu_geo
湖南苏仙岭-万华岩风景名胜区管理处,国家级,湖南省,convex_hull
虎形山-花瑶风景名胜区,国家级,湖南省,baidu_geo
衡阳市衡山旅游区,国家级,湖南省,baidu_geo
里耶乌龙山风景名胜区管理处,国家级,湖南省,convex_hull
韶山风景名胜区,国家级,湖南省,baidu_geo
